Date,Open,High,Low,Close,Volume,Change
2024-05-13,18700,18910,17870,18560,4790346,0.01199563794983649
2024-05-14,18560,18910,17120,18010,5163491,-0.029633620689655138
2024-05-16,18030,18290,16510,16520,7336929,-0.08273181565796783
2024-05-17,16460,16640,16110,16180,3064009,-0.020581113801452777
2024-05-20,16630,18280,16600,17550,11217606,0.08467243510506806
2024-05-21,17120,17390,16720,17010,2453722,-0.03076923076923077
2024-05-22,17320,17450,16740,16800,2689977,-0.012345679012345734
2024-05-23,16640,16950,16580,16600,1549150,-0.011904761904761862
2024-05-24,16440,16960,16120,16780,2383668,0.010843373493975905
2024-05-27,17560,18130,17400,17550,4627511,0.045887961859356396
2024-05-28,17890,18150,17740,18010,2847063,0.026210826210826266
2024-05-29,17990,18260,17550,18180,2344311,0.00943920044419766
2024-05-30,18000,18280,17940,18180,1611780,0.0
2024-05-31,18420,18540,17870,18000,3622592,-0.00990099009900991
2024-06-03,18980,19440,18690,19130,8479182,0.06277777777777782
2024-06-04,18940,19310,18510,19000,2966892,-0.006795608991113422
2024-06-05,19230,19500,18950,19090,2942135,0.00473684210526315
2024-06-07,19150,19720,19010,19500,3978760,0.021477213200628675
2024-06-10,19330,19500,18160,18410,3807339,-0.0558974358974359
2024-06-11,18490,18790,17390,17500,4220525,-0.049429657794676785
2024-06-12,17490,17630,17020,17100,2488083,-0.02285714285714291
2024-06-13,17120,17430,17030,17030,2710262,-0.004093567251462038
2024-06-14,17100,18100,17100,18050,4096729,0.059894304169113344
2024-06-17,18410,18410,17410,17540,2627826,-0.028254847645429404
2024-06-18,17680,18440,17650,17930,2961650,0.022234891676168766
2024-06-19,18010,18540,17870,18510,2937385,0.03234802007808146
2024-06-20,18600,19750,18590,19150,6692038,0.0345759049162615
2024-06-21,19300,19550,18820,19140,3286561,-0.0005221932114882755
2024-06-24,18710,19280,18640,18980,2436868,-0.008359456635318674
2024-06-25,19490,19960,18970,19180,7331023,0.010537407797681864
2024-06-26,19090,19630,18910,19140,2920252,-0.002085505735140769
2024-06-27,19140,19360,19000,19010,1570099,-0.006792058516196464
2024-06-28,19070,19880,19070,19630,6239235,0.03261441346659644
2024-07-01,19980,20450,19610,19690,3958665,0.0030565461029037344
2024-07-02,19560,20400,19310,19970,4234398,0.01422041645505323
2024-07-03,20100,20800,19880,19900,5984097,-0.0035052578868302042
2024-07-04,20000,20450,19170,19780,3816114,-0.0060301507537688925
2024-07-05,19950,20250,19360,19370,3583767,-0.02072800808897879
2024-07-08,19150,19150,18280,18340,4682077,-0.053175012906556574
2024-07-09,18240,18390,17950,18050,3562605,-0.015812431842966213
2024-07-10,18140,18420,18060,18120,1772114,0.0038781163434902233
2024-07-11,18130,18290,17940,17980,2221235,-0.007726269315673329
2024-07-12,17830,18060,17360,17560,3281979,-0.023359288097886566
2024-07-15,17660,17890,17460,17610,1903631,0.0028473804100228595
2024-07-16,17740,18270,17700,18100,2743750,0.027825099375354823
2024-07-17,18200,18240,17850,17950,1814773,-0.008287292817679592
2024-07-18,17980,18050,17650,18000,1297197,0.0027855153203342198
2024-07-19,17850,18040,17180,17250,2077387,-0.04166666666666663
2024-07-22,17190,17350,16880,17030,1314697,-0.012753623188405783
2024-07-23,17170,17300,16900,16900,1208833,-0.007633587786259555
2024-07-24,16770,17060,16700,16970,1226039,0.004142011834319614
2024-07-25,16970,17090,16710,16940,1186222,-0.001767825574543358
2024-07-26,16800,17300,16800,17090,1067622,0.008854781582054327
2024-07-29,17190,17540,17060,17230,1504136,0.008191925102398967
2024-07-30,17230,17810,17220,17550,2169270,0.018572257690075533
2024-07-31,17600,18200,17360,18200,2087875,0.03703703703703698
2024-08-01,18200,18390,17850,18290,1769832,0.0049450549450549275
2024-08-02,18080,18280,17650,18210,1947461,-0.004373974849644635
2024-08-05,18290,18540,15800,16280,3835937,-0.10598572213069746
2024-08-06,16440,17680,16440,17230,2634787,0.058353808353808434
2024-08-07,17260,17670,17060,17160,1715297,-0.004062681369704002
2024-08-08,17030,17480,16960,17310,1506102,0.00874125874125875
2024-08-09,17370,17590,17260,17370,997880,0.0034662045060658286
2024-08-12,17530,17700,17400,17570,1065617,0.011514104778353573
2024-08-13,17570,17980,17190,17500,2294941,-0.003984063745019917
2024-08-14,17900,17900,17090,17630,2030911,0.00742857142857134
2024-08-16,17900,18070,17770,17940,1305044,0.017583664208735028
2024-08-19,18070,18280,17820,17920,1470607,-0.0011148272017836858
2024-08-20,18120,18330,17680,17800,1655306,-0.006696428571428603
2024-08-21,17780,17920,17650,17820,734098,0.0011235955056179137
2024-08-22,17820,17990,17760,17970,892672,0.008417508417508435
2024-08-23,17870,17960,17450,17630,948573,-0.018920422927100722
2024-08-26,17630,17780,17570,17700,753354,0.003970504821327214
2024-08-27,17840,17850,17300,17360,1025978,-0.019209039548022555
2024-08-28,17370,17520,17210,17380,848363,0.0011520737327188613
2024-08-29,17380,17440,17040,17100,955488,-0.016110471806674354
2024-08-30,17200,17300,16970,16970,2827509,-0.007602339181286499
2024-09-02,16970,17030,16660,16710,1273429,-0.015321154979375362
2024-09-03,16710,16930,16710,16900,585079,0.011370436864153177
2024-09-04,16500,16700,16210,16370,1386472,-0.03136094674556211
2024-09-05,16420,16800,16410,16800,895262,0.026267562614538775
2024-09-06,16710,16870,16220,16270,761044,-0.03154761904761905
2024-09-09,15990,16270,15880,16270,784291,0.0
2024-09-10,16310,16830,16310,16530,862248,0.015980331899200895
2024-09-11,16860,16980,16330,16490,886287,-0.002419842710223885
2024-09-12,16600,16650,16450,16550,1163090,0.0036385688295936802
2024-09-13,16690,17040,16630,16860,978328,0.018731117824773325
2024-09-19,17150,17310,16960,17310,1377146,0.026690391459074814
2024-09-20,17370,17630,17170,17630,1612983,0.018486424032351234
2024-09-23,17730,17870,17470,17730,1046019,0.005672149744753163
2024-09-24,17850,18220,17690,18220,1795826,0.027636773829667227
2024-09-25,18400,18700,18350,18460,2290894,0.01317233809001106
2024-09-26,18460,18680,18110,18680,1797256,0.011917659804983716
2024-09-27,18700,18920,18450,18860,1917143,0.009635974304068595
2024-09-30,18970,19430,18530,18530,2297036,-0.017497348886532316
2024-10-02,18850,18890,17810,17990,1819617,-0.029141932002158644
2024-10-04,17540,17710,16800,17100,2587163,-0.0494719288493608
2024-10-07,16980,17190,16930,17040,1159105,-0.0035087719298245723
2024-10-08,16960,17160,16960,17060,1133597,0.0011737089201877549
2024-10-10,17180,17190,16870,16870,1617334,-0.011137162954279023
2024-10-11,17030,17100,16850,16870,582198,0.0
2024-10-14,17110,17260,16940,17240,1007693,0.0219324244220509
2024-10-15,17340,17340,16980,17040,1061494,-0.011600928074245953
2024-10-16,16970,17460,16840,17360,1082946,0.018779342723004744
2024-10-17,17360,17610,17280,17450,1065982,0.005184331797235098
2024-10-18,17490,17490,17110,17180,777839,-0.015472779369627543
2024-10-21,17230,17580,17190,17450,806301,0.01571594877764837
2024-10-22,17400,17440,16950,17160,903829,-0.01661891117478509
2024-10-23,17150,17160,16870,17050,644649,-0.0064102564102563875
2024-10-24,17050,17160,16860,17050,665449,0.0
2024-10-25,16960,17130,16700,16830,751295,-0.012903225806451646
2024-10-28,16900,17300,16850,17290,891680,0.027332144979203887
2024-10-29,17140,17360,17100,17360,568175,0.004048582995951344
2024-10-30,17360,17360,17060,17270,505355,-0.005184331797234987
2024-10-31,17350,17350,16910,17120,968190,-0.008685581933989606
2024-11-01,17060,17340,16880,17070,617357,-0.0029205607476635587
2024-11-04,17110,17860,17000,17860,1421648,0.046280023432923256
2024-11-05,17620,17840,17360,17840,762715,-0.0011198208286674616
2024-11-06,17840,17840,17010,17080,1134303,-0.04260089686098656
2024-11-07,17050,17210,16860,17100,857173,0.0011709601873535203
2024-11-08,17200,17440,16940,17050,848496,-0.0029239766081871066
2024-11-11,16910,16950,15750,15750,2825377,-0.07624633431085048
2024-11-12,15580,16330,15570,16020,2136117,0.017142857142857126
2024-11-13,15830,17030,15830,17020,3172583,0.062421972534332015
2024-11-14,17190,18500,16680,17620,5563674,0.03525264394829608
2024-11-15,17670,18400,17620,18240,3189617,0.03518728717366626
2024-11-18,18310,18590,17700,18060,1921161,-0.009868421052631526
2024-11-19,17940,18540,17940,18320,1909139,0.01439645625692143
2024-11-20,18150,18460,18040,18320,968001,0.0
2024-11-21,18390,18800,18300,18700,2190816,0.020742358078602585
2024-11-22,18540,18810,18460,18590,1709951,-0.00588235294117645
2024-11-25,18650,19090,18450,18880,2304574,0.01559978483055402
2024-11-26,18700,18750,18260,18500,1516379,-0.0201271186440678
2024-11-27,18500,18800,18350,18520,1298176,0.00108108108108107
2024-11-28,18600,18810,18400,18620,1403971,0.005399568034557323
2024-11-29,18680,18680,17950,17960,1436014,-0.03544575725026855
2024-12-02,18110,18150,17650,17650,829475,-0.017260579064588
2024-12-03,17800,18400,17620,18150,1128212,0.028328611898017053
2024-12-04,17980,18050,17660,17820,895514,-0.018181818181818188
2024-12-05,17950,18370,17790,18210,1153278,0.02188552188552184
2024-12-06,18220,18500,17750,18000,1158312,-0.011532125205930832
2024-12-09,17850,17930,17400,17800,1097019,-0.011111111111111072
2024-12-10,17800,18440,17800,18360,1000915,0.03146067415730336
2024-12-11,18360,18800,18250,18770,1263455,0.022331154684095855
2024-12-12,18860,18870,18550,18630,1833042,-0.0074587107085775095
2024-12-13,18680,18800,18370,18800,1133438,0.00912506709608163
2024-12-16,18860,18870,18250,18490,1144732,-0.01648936170212767
2024-12-17,18470,18470,17810,18300,1030742,-0.010275824770145991
2024-12-18,18340,18420,18040,18210,752351,-0.004918032786885296
2024-12-19,17990,18120,17760,17970,906440,-0.01317957166392092
2024-12-20,17890,18640,17890,18400,2135651,0.023928770172509717
2024-12-23,18400,18410,17770,17970,1084305,-0.023369565217391308
2024-12-24,18090,18370,18010,18170,771341,0.01112966054535347
2024-12-26,18250,18260,18010,18020,611163,-0.008255365987892116
2024-12-27,17840,17900,17500,17530,886708,-0.02719200887902329
2024-12-30,17540,17880,17260,17660,645625,0.00741585852823734
2025-01-02,17660,17830,17460,17700,524128,0.0022650056625141968
2025-01-03,17800,18490,17790,18370,1879525,0.037853107344632875
2025-01-06,18500,19000,18210,18900,2068487,0.028851388132825173
2025-01-07,18890,19200,18670,18870,1108266,-0.0015873015873015817
2025-01-08,18760,19360,18760,19050,1672205,0.009538950715421324
2025-01-09,19250,19880,18890,18910,3470021,-0.0073490813648293685
2025-01-10,18850,19170,18820,18900,1162228,-0.0005288207297725611
2025-01-13,18920,18940,18520,18580,1189406,-0.016931216931216908
2025-01-14,18600,18880,18450,18610,1025132,0.0016146393972011897
2025-01-15,18740,19890,18700,19800,4866843,0.06394411606663075
2025-01-16,19920,19930,19430,19820,2260451,0.0010101010101009056
2025-01-17,19810,19810,19300,19430,1754617,-0.019677093844601368
2025-01-20,19700,19710,18000,18000,3805240,-0.07359752959341226
2025-01-21,18000,18280,18000,18050,1482535,0.002777777777777768
2025-01-22,18240,19800,18090,19170,5410262,0.062049861495844905
2025-01-23,19050,19340,18710,18810,2107084,-0.018779342723004744
2025-01-24,19030,19170,18510,18640,1369271,-0.009037745879851178
2025-01-31,18800,19050,18590,19040,2315366,0.02145922746781115
2025-02-03,18660,18660,18100,18370,1308273,-0.03518907563025209
2025-02-04,18470,18680,18340,18460,1076572,0.004899292324441973
2025-02-05,18490,18750,18420,18420,1175783,-0.0021668472372697867
2025-02-06,18580,18780,18480,18700,838485,0.015200868621064068
2025-02-07,18650,18950,18540,18580,873383,-0.0064171122994652885
2025-02-10,18440,18770,18210,18240,1109965,-0.01829924650161463
2025-02-11,18260,19000,18230,18410,1829464,0.009320175438596534
2025-02-12,18600,19000,18290,18360,1910796,-0.0027159152634438355
2025-02-13,18350,18360,18050,18110,1850313,-0.013616557734204782
2025-02-14,18310,18340,17950,18320,1419919,0.011595803423522844
2025-02-17,18370,18370,18060,18100,1148596,-0.012008733624454093
2025-02-18,18090,18250,18010,18180,966490,0.0044198895027625085
2025-02-19,18100,18410,18070,18300,1417477,0.0066006600660066805
2025-02-20,18200,18750,18190,18730,2105088,0.023497267759562845
2025-02-21,18790,19000,18350,18670,1438535,-0.0032034169781099964
2025-02-24,19620,21650,19420,20000,28312869,0.07123727905731125
2025-02-25,19670,21450,19100,20900,17234939,0.04499999999999993
2025-02-26,21200,21350,20200,20500,4591291,-0.019138755980861233
2025-02-27,20450,20750,20000,20500,2855080,0.0
2025-02-28,20200,20600,19210,19590,4980633,-0.044390243902439064
2025-03-04,19500,21200,19280,20650,6118697,0.054109239407861054
2025-03-05,20850,21850,20750,21500,6923107,0.041162227602905554
2025-03-06,21750,21750,20900,21450,2669828,-0.0023255813953488857
2025-03-07,21350,22000,21000,21650,3248426,0.00932400932400923
2025-03-10,21750,22650,21150,22150,4804741,0.023094688221708903
2025-03-11,21400,21900,21000,21250,2997429,-0.040632054176072185
2025-03-12,21300,21500,20750,20950,2175055,-0.014117647058823568
2025-03-13,20900,21100,20500,20600,2710209,-0.01670644391408116
2025-03-14,20750,21150,20250,20700,1976062,0.004854368932038833
2025-03-17,20650,20900,20550,20850,1346575,0.007246376811594235
2025-03-18,20950,21150,20700,20800,1527052,-0.0023980815347721673
2025-03-19,20850,20900,20000,20000,2390038,-0.038461538461538436
2025-03-20,20150,20350,19740,20050,1899891,0.0024999999999999467
2025-03-21,19830,20150,19440,19840,2008944,-0.010473815461346625
2025-03-24,19830,20550,19740,20350,2362012,0.025705645161290258
2025-03-25,20350,21000,20350,20550,1784934,0.00982800982800991
2025-03-26,20550,20800,20200,20500,1074723,-0.0024330900243308973
2025-03-27,20150,20300,19980,20050,955729,-0.02195121951219514
2025-03-28,20150,20200,19500,19670,904795,-0.01895261845386531
2025-03-31,19400,19840,19130,19560,1622658,-0.005592272496187101
2025-04-01,19750,20750,19730,20550,1848065,0.05061349693251538
2025-04-02,20700,20800,20200,20550,1232283,0.0
2025-04-03,19930,20100,19660,19750,1514820,-0.038929440389294356
2025-04-04,19330,19890,19170,19600,1366835,-0.0075949367088608
2025-04-07,19000,19100,18010,18250,2153008,-0.06887755102040816
2025-04-08,18650,19180,17960,17990,1784291,-0.014246575342465762
2025-04-09,17880,18120,17560,17690,1501952,-0.016675931072818284
2025-04-10,18900,19170,18590,19110,1965062,0.08027133973996614
2025-04-11,18700,19500,18500,19320,1990121,0.01098901098901095
2025-04-14,19320,19500,18910,19220,1244978,-0.005175983436852993
2025-04-15,19230,19350,19100,19220,586483,0.0
2025-04-16,19260,19540,18930,19440,952778,0.01144640998959412
2025-04-17,19430,19520,19140,19270,675651,-0.008744855967078191
2025-04-18,20850,20850,19320,19350,4330697,0.004151530877010812
2025-04-21,19380,19400,18810,18960,2019719,-0.020155038759689936
2025-04-22,19110,19550,18970,19010,1690132,0.0026371308016877038
2025-04-23,19160,19260,19020,19070,1367125,0.0031562335612835835
2025-04-24,19080,19170,18880,18940,1126509,-0.0068169900367068825
2025-04-25,19030,19030,18590,18820,1776211,-0.006335797254487852
2025-04-28,18770,18800,18610,18660,1110071,-0.008501594048884176
2025-04-29,18600,18630,18200,18250,2031119,-0.021972132904608754
2025-04-30,18300,18360,18010,18260,1455242,0.0005479452054795164
2025-05-02,18180,18300,18060,18250,1027760,-0.0005476451259583959
2025-05-07,18300,18610,18210,18530,1381648,0.015342465753424683
2025-05-08,18450,18460,18090,18110,1987659,-0.02266594711279002
2025-05-09,18200,18350,18150,18160,1053125,0.002760905577029238
2025-05-12,18310,19340,18290,19280,4412644,0.06167400881057272
2025-05-13,19510,20800,19500,20400,5925521,0.05809128630705396
2025-05-14,20300,21100,20100,20800,3358604,0.019607843137254832
2025-05-15,22300,23000,21800,22150,6123797,0.06490384615384626
2025-05-16,22250,23200,21500,22950,3865416,0.03611738148984189
2025-05-19,22600,23100,22350,22550,1788049,-0.017429193899782147
2025-05-20,23000,23200,21850,22100,1950025,-0.019955654101995512
2025-05-21,22100,22650,21900,22350,1397616,0.011312217194570096
2025-05-22,22300,22400,21900,22200,1166866,-0.006711409395973145
2025-05-23,22000,22450,21700,22200,1002424,0.0
2025-05-26,22100,23000,21950,22200,1428353,0.0
2025-05-27,22050,22450,21300,21750,1380640,-0.020270270270270285
2025-05-28,22000,22250,21450,21700,1424962,-0.0022988505747126853
2025-05-29,21900,21950,21550,21800,1399538,0.004608294930875667
2025-05-30,21650,21750,21050,21300,2553909,-0.022935779816513735
2025-06-02,22350,22600,21950,22300,2418245,0.04694835680751175
2025-06-04,23300,23650,22250,22550,2651013,0.011210762331838486
2025-06-05,22650,22950,21550,21600,3020941,-0.04212860310421285
2025-06-09,21950,22200,21650,22150,2557621,0.02546296296296302
2025-06-10,22150,22700,21700,22350,2285665,0.009029345372460584
2025-06-11,22450,22550,22000,22500,1452670,0.006711409395973256
2025-06-12,22550,23350,22250,23000,2912115,0.022222222222222143
2025-06-13,23550,25000,22800,24200,10270590,0.05217391304347818
2025-06-16,25000,25350,23550,24300,5246933,0.004132231404958775
2025-06-17,23650,23650,22750,23000,4484756,-0.053497942386831254
2025-06-18,23050,23300,22900,22950,2079323,-0.0021739130434782483
2025-06-19,23100,23150,22500,22750,1703760,-0.008714596949891074
2025-06-20,22400,23150,22400,23000,2803690,0.01098901098901095
2025-06-23,24550,24600,23150,23550,4624142,0.023913043478260843
2025-06-24,22600,23200,22450,22800,3052164,-0.031847133757961776
2025-06-25,23100,23150,22700,22850,1816170,0.002192982456140413
2025-06-26,23000,23700,22850,23100,2592527,0.010940919037199182
2025-06-27,23100,23150,22250,22400,1562326,-0.030303030303030276
2025-06-30,22600,22850,22500,22500,987748,0.0044642857142858094
2025-07-01,22850,23700,22800,23300,1900273,0.03555555555555556
2025-07-02,23650,23750,23000,23350,1528215,0.0021459227467810482
2025-07-03,23400,24100,23250,23900,2045683,0.023554603854389677
2025-07-04,24400,25300,24100,24300,4092417,0.01673640167364021
2025-07-07,24550,24600,23500,24000,1456575,-0.012345679012345734
2025-07-08,23750,24450,23600,24050,1612845,0.002083333333333437
2025-07-09,24050,24900,23850,24750,2142199,0.029106029106028997
2025-07-10,24800,24800,24300,24700,1815817,-0.002020202020202033
2025-07-11,24700,25750,24600,25450,3099390,0.030364372469635637
2025-07-14,25500,26200,25000,25500,2088112,0.0019646365422396617
2025-07-15,25950,26250,25550,25950,2028883,0.01764705882352935
2025-07-16,25650,25700,25100,25200,1597797,-0.028901734104046284
2025-07-17,25150,25400,24800,25250,1437024,0.001984126984126977
2025-07-18,25150,25300,24700,25000,974570,-0.00990099009900991
2025-07-21,24750,24900,24150,24400,1789266,-0.02400000000000002
2025-07-22,24350,24700,24150,24350,1054254,-0.002049180327868827
2025-07-23,24600,25100,24500,24700,1372846,0.014373716632443578
2025-07-24,24800,25000,24500,24600,945010,-0.004048582995951455
2025-07-25,24400,24950,24400,24600,754531,0.0
2025-07-28,24300,24750,23600,23950,1449849,-0.026422764227642226
2025-07-29,23650,23750,23350,23650,1024346,-0.012526096033402934
2025-07-30,23500,23750,23400,23650,879686,0.0
2025-07-31,24150,24300,23400,23450,1188005,-0.008456659619450302
2025-08-01,23400,23700,22850,23000,1103275,-0.019189765458422214
2025-08-04,22600,23150,22600,23000,837977,0.0
2025-08-05,23200,23300,22600,23050,1141560,0.0021739130434783593
2025-08-06,22900,23250,22750,23050,655158,0.0
2025-08-07,23500,23550,23050,23200,697335,0.006507592190889477
2025-08-08,23200,23200,22900,23000,5473234,-0.008620689655172376
2025-08-11,22900,23000,22500,22550,659051,-0.019565217391304346
2025-08-12,22450,22800,22350,22450,734822,-0.0044345898004434225
2025-08-13,22600,22650,22300,22550,926142,0.00445434298440972
2025-08-14,22600,22700,21450,22100,2472780,-0.019955654101995512
2025-08-18,24400,24500,23500,23650,5425175,0.07013574660633481
2025-08-19,23500,23550,22800,22950,2345848,-0.029598308668076112
2025-08-20,22500,23200,22450,23000,2083910,0.002178649237472685
2025-08-21,22800,22950,22500,22600,1925830,-0.017391304347826098
2025-08-22,22700,22900,22450,22600,855733,0.0
2025-08-25,22700,22800,22400,22450,1036714,-0.006637168141592875
2025-08-26,22500,22550,21900,22000,2415351,-0.020044543429844075
2025-08-27,22200,22250,21850,21900,1023995,-0.004545454545454519
2025-08-28,21900,22000,21800,21850,1345367,-0.0022831050228310223
2025-08-29,21950,22600,21700,22100,1296230,0.011441647597254079
2025-09-01,22400,22600,22050,22400,969669,0.013574660633484115
2025-09-02,22350,22600,22100,22350,912075,-0.0022321428571429047
2025-09-03,22300,22450,22100,22250,831062,-0.004474272930648726
2025-09-04,22150,22600,22150,22500,1126537,0.011235955056179803
2025-09-05,24100,24100,22750,22950,5127767,0.020000000000000018
2025-09-08,23000,23100,22600,23050,1440410,0.004357298474945592
2025-09-09,23150,23250,22900,23050,1737477,0.0
2025-09-10,23000,23800,23000,23750,2239788,0.030368763557483636
2025-09-11,23700,23900,23200,23900,1948243,0.006315789473684275
2025-09-12,23800,24650,23650,24300,2364519,0.01673640167364021
2025-09-15,23950,23950,23300,23450,1088519,-0.034979423868312765
2025-09-16,23450,23875,23300,23700,974019,0.010660980810234477
2025-09-17,23550,23900,23400,23500,1321926,-0.008438818565400852
2025-09-18,23550,23550,22900,23000,2435127,-0.021276595744680882
2025-09-19,23050,23050,22450,22450,2382968,-0.023913043478260843
2025-09-22,22600,22650,21800,21900,2655834,-0.024498886414253906
2025-09-23,22000,22100,21100,21250,3238314,-0.029680365296803624
2025-09-24,21550,21600,21200,21300,1676252,0.0023529411764706687
2025-09-25,21450,21500,21000,21050,1503486,-0.011737089201877882
2025-09-26,21000,21000,20425,20550,1456625,-0.02375296912114011
2025-09-29,20950,21150,20550,20600,1305154,0.0024330900243310083
2025-09-30,20600,20650,19990,20050,2611458,-0.02669902912621358
2025-10-01,20050,20250,19950,20000,1304689,-0.0024937655860348684
2025-10-02,20100,20550,20100,20400,2130538,0.020000000000000018
2025-10-10,20200,20450,19810,19870,2751819,-0.025980392156862764
2025-10-13,19550,20100,19470,20050,1341072,0.00905888273779576
2025-10-14,20000,20800,19950,20400,2657751,0.0174563591022443
2025-10-15,20500,20600,20250,20350,1051718,-0.002450980392156854
2025-10-16,20650,21350,20550,20950,2357189,0.029484029484029506
2025-10-17,21300,21300,20700,20800,1431564,-0.007159904534606243
2025-10-20,20900,20900,20400,20450,1688157,-0.016826923076923128
2025-10-21,20550,20600,20200,20200,2057218,-0.012224938875305624
2025-10-22,20400,20850,20300,20850,1754055,0.03217821782178221
2025-10-23,20750,21150,20600,20750,1137374,-0.004796163069544335
2025-10-24,20800,20800,20250,20550,1938070,-0.009638554216867434
2025-10-27,20550,21600,20500,21200,2482267,0.031630170316301776
2025-10-28,21200,21200,20750,21000,967668,-0.009433962264150941
2025-10-29,21100,21150,20550,20650,1442559,-0.01666666666666672
2025-10-30,21000,21450,20650,20750,1574965,0.004842615012106588
2025-10-31,20600,20850,20450,20550,1405454,-0.009638554216867434
2025-11-03,20450,20500,20100,20250,1361996,-0.014598540145985384
2025-11-04,20150,20400,20050,20200,1168772,-0.0024691358024691024
2025-11-05,20250,20250,19430,19800,2281476,-0.01980198019801982
2025-11-06,20000,20200,19810,20050,1054234,0.012626262626262541
2025-11-07,19900,20050,19600,19820,1293166,-0.011471321695760595
2025-11-10,19820,20200,19700,20200,876894,0.019172552976791213
2025-11-11,20050,20300,19800,19910,1151056,-0.01435643564356437
2025-11-12,19950,20250,19750,20200,793634,0.014565544952285236
2025-11-13,20000,20200,19860,20000,1510829,-0.00990099009900991
2025-11-14,19990,19990,19400,19420,1637011,-0.029000000000000026
2025-11-17,19440,19490,19060,19240,1185437,-0.009268795056642687
2025-11-18,19020,19200,18740,18750,1132039,-0.025467775467775455
2025-11-19,18930,19300,18930,19050,1119880,0.016000000000000014
2025-11-20,19090,19450,19050,19230,791032,0.009448818897637823
2025-11-21,19050,19170,18940,19150,811115,-0.004160166406656285
2025-11-24,19250,19290,18660,18660,1792050,-0.025587467362924277
2025-11-25,18850,18950,18660,18710,699300,0.002679528403001008
2025-11-26,18890,19070,18830,19010,891017,0.016034206306787757
2025-11-27,19010,19090,18950,19000,804634,-0.0005260389268806342
2025-11-28,19030,19290,18960,19140,926144,0.007368421052631469
2025-12-01,19470,20600,19460,19980,2761859,0.043887147335423204
2025-12-02,19980,20300,19750,20150,1183634,0.008508508508508594
2025-12-03,20350,20400,19970,20150,914819,0.0
2025-12-04,20050,20500,19960,20100,1011957,-0.002481389578163795
2025-12-05,20100,20650,20000,20550,1882949,0.02238805970149249
2025-12-08,20600,20650,20200,20500,1461790,-0.0024330900243308973
2025-12-09,20550,20950,20400,20600,1212593,0.004878048780487809
2025-12-10,20600,20650,20050,20150,944858,-0.021844660194174748
2025-12-11,20250,20650,20100,20400,1603017,0.012406947890818865
2025-12-12,20500,20800,20500,20750,1048310,0.017156862745097978
2025-12-15,20500,20950,20350,20700,1178042,-0.002409638554216831
2025-12-16,20900,21100,20600,20800,1887128,0.004830917874396157
2025-12-17,21050,21100,20550,20750,988746,-0.0024038461538461453
2025-12-18,20500,20650,20300,20500,787596,-0.012048192771084376
2025-12-19,20700,20700,20200,20550,2678229,0.0024390243902439046
2025-12-22,20700,20800,20400,20550,779923,0.0
2025-12-23,20600,20750,20450,20500,673012,-0.0024330900243308973
2025-12-24,20550,20800,20500,20650,825840,0.007317073170731714
